name,birth_city,birth_state,birth_country,death_city,death_state,death_country,promos,birth_year,birth_month,birth_day,death_year,death_month,death_day,sex
Johnny Gargano,Cleveland,Ohio,US,,,,"[wwe, tna]",1987,8,14,,,,m
Johnny Grunge,Sulphur,Louisiana,US,Peachtree City,Georgia,US,"[wwe, ecw, wcw]",1966,7,10,2006,2,16,m
Johnny Hotbody,,,US,,,US,[ecw],1963,6,12,,,,m
Johnny Jeter,San Diego,California,US,,,,[wwe],1981,12,14,,,,m
Johnny Kashmere,,,,,,,[tna],1978,11,6,,,,m
Johnny Powers,Hamilton,Ontario,CA,,,US,[wwe],1943,3,20,,,,m
Johnny Rodz,New York City,New York,US,,,US,"[wwe, tna]",1938,5,16,,,,m
Johnny Slaughter,Los Angeles,California,US,,,,[tna],1979,11,24,,,,m
Johnny Swinger,Buffalo,New York,US,,,,"[wwe, ecw, tna, wcw]",1975,7,3,,,,m
Johnny Valentine,Maple Valley,Washington,US,River Oaks,Texas,US,"[wwe, sta, nwa]",1928,9,22,2001,4,24,m
Johnny Valiant,Pittsburgh,Pennsylvania,US,,,US,[wwe],1946,11,25,,,,m
Johnny Weaver,East Saint Louis,Illinois,US,Charlotte,North Carolina,US,"[sta, nwa]",1935,11,17,2008,2,15,m
Jon Bolen,Uniontown,Pennsylvania,US,,,US,[tna],,,,,,,m
Jon Heidenreich,Los Angeles,California,US,,,,[wwe],1972,6,28,,,,m
Jon Hugger,Atlanta,Georgia,US,,,US,"[wwe, tna]",1977,4,20,,,,m
Jonnie Stewart,Chicago,Illinois,US,,,US,[awa],1967,3,4,,,,m
Jonny Fairplay,Danville,Virginia,US,,,,[tna],1974,3,11,,,,m
Jonny Storm,Harlow,England,GB,,,,[tna],1977,4,19,,,,m
Jorge Estrada,Miami,Florida,US,,,US,"[ecw, tna]",1976,,,,,,m
Jorge González,El Colorado,Formosa Province,AR,General José de San Martín,Chaco,AR,"[wcw, wwe]",1966,1,31,2010,9,22,m
Jos LeDuc,Montreal,Quebec,CA,Atlanta,Georgia,US,[sta],1944,8,31,1999,5,1,m
José Estrada Jr.,,,PR,,,US,"[wwe, tna]",1973,8,25,,,,m
José Estrada Sr.,,,PR,,,,[wwe],1946,,,,,,m
José González,San Lorenzo,,PR,,,US,[nwa],1946,,,,,,m
José Lothario,Monterrey,Nuevo Leon,MX,,,US,[nwa],1934,12,12,,,,m
Jose Maximo,Brooklyn,New York,US,,,,"[tna, wwe]",1983,10,13,,,,m
Josh Bredl,Thornton,Colorado,US,,,,[wwe],1991,1,28,,,,m
Josh Mathews,Sea Isle City,New Jersey,US,,,,"[wwe, tna]",1980,11,25,,,,m
Joy Giovanni,Boston,Massachusetts,US,,,,[wwe],1978,1,20,,,,f
Joyce Grable,LaGrange,Georgia,US,,,,"[sta, nwa]",1952,11,9,,,,f
JTG,Brooklyn,New York,US,,,,[wwe],1984,12,10,,,,m
Juan Kachmanian,,,US,,,US,[awa],1930,4,6,,,,m
Judy Grable,Bremerton,Washington,US,,,,"[sta, nwa]",1935,8,21,2008,5,11,f
Judy Martin,,Texas,US,,,US,"[sta, nwa, awa]",1955,10,8,,,,f
Jules Strongbow,Omaha,Nebraska,US,,,,[nwa],1952,,,,,,m
Julio Dinero,Washington,D.C.,US,,,,"[ecw, tna, wcw]",1972,4,14,,,,m
Jumbo Tsuruta,Makioka,Yamanashi,JP,,,PH,[nwa],1951,3,25,2000,5,13,m
June Byers,Houston,Texas,US,Houston,Texas,US,"[sta, nwa]",1922,5,25,1998,7,20,f
Junji Hirata,Hiratsuka,Kanagawa Prefecture,JP,,,,[sta],1956,12,20,,,,m
Junkyard Dog,Wadesboro,North Carolina,US,Forest,Mississippi,US,"[wwe, sta, nwa, wcw]",1952,12,13,1998,6,2,m
Jushin Thunder Liger,Hiroshima,,JP,,,US,"[sta, wcw]",1964,11,30,,,,m
Justin Credible,Waterbury,Connecticut,US,,,US,"[wwe, ecw]",1973,10,16,,,,m
Justin Gabriel,Cape Town,Western Cape,ZA,,,US,[wwe],1981,3,3,,,,m
Juventud Guerrera,Mexico City,Mexican Federal District,MX,,,,"[wwe, ecw, tna, wcw]",1974,11,23,,,,m
Kalisto,Chicago,Illinois,US,,,,[wwe],1986,11,14,,,,m
Kamala,Senatobia,Mississippi,US,,,US,"[wwe, sta, nwa, tna, wcw]",1950,5,28,,,,m
Kana,Osaka,Osaka Prefecture,JP,,,US,[wwe],1981,9,26,,,,f
Kane,Torrejón de Ardoz,Madrid,ES,,,,[wwe],1967,4,26,,,,m
Karl Anderson,Asheville,North Carolina,US,,,US,[wwe],1980,1,20,,,,m
Karl Gotch,Antwerp,,BE,Tampa,Florida,US,"[wwe, sta]",1924,8,3,2007,7,28,m
Karl Von Brauner,Stirling,Ontario,CA,,California,US,[sta],1931,,,2009,7,5,m
Kasey James,Belvidere,Illinois,US,,,US,[wwe],1982,3,20,,,,m
Katarina Waters,Lüneburg,,DE,,,US,[wwe],1980,11,10,,,,f
Kay Bell,Chehalis,Washington,US,Redmond,Washington,US,[nwa],1914,10,14,1994,10,27,m
Kay Noble,St. Joseph,Missouri,US,Amarillo,Texas,US,"[sta, nwa]",1940,10,15,2006,4,27,f
Kaz Hayashi,Setagaya,Tokyo,JP,,,,"[wwe, wcw]",1973,5,18,,,,m
Kazma Sakamoto,Tokyo,,JP,,,US,[wwe],1982,10,1,,,,m
Kazuchika Okada,Anjō,Aichi,JP,,,,[tna],1987,11,8,,,,m
Kazuo Sakurada,,,US,,,US,"[sta, ecw, nwa, wcw]",1948,9,26,,,,m
Kazushige Nosawa,,,US,,,US,[tna],1976,12,17,,,,m
KC Cassidy,Sydney,New South Wales,AU,,,US,[wwe],1992,11,10,,,,m
Keiji Mutoh,Fujiyoshida,Yamanashi,JP,,,US,[wcw],1962,12,23,,,,m
Keith Hart,Great Falls,Montana,US,,,US,"[wwe, sta]",1951,8,21,,,,m
Kelly Kelly,Jacksonville,Florida,US,,,US,[wwe],1987,1,15,,,,f
Kelly Kiniski,Calgary,Alberta,CA,,,,[sta],1960,5,27,,,,m
Ken Anderson,Wisconsin Rapids,Wisconsin,US,,,,"[wwe, tna]",1976,3,6,,,,m
Ken Patera,Portland,Oregon,US,,,,"[wwe, nwa, awa]",1943,11,6,,,,m
Ken Shamrock,Macon,Georgia,US,,,,[wwe],1964,2,11,,,,m
Ken Timbs,Atlanta,Georgia,US,,,,[nwa],1951,1,27,2004,8,1,m
Ken Wayne,Memphis,Tennessee,US,,,US,[nwa],1959,1,15,,,,m
Kendall Windham,Sweetwater,Texas,US,,,,"[ecw, wcw]",1966,8,7,,,,m
Kenny Dykstra,Southbridge,Massachusetts,US,,,US,"[wwe, tna]",1986,3,16,,,,m
Kenny Jay,Holdingford,Minnesota,US,,,,[awa],1937,3,27,,,,m
Kenny Kaos,Anchorage,Alaska,US,,,US,[wcw],1970,6,18,,,,m
Kensuke Sasaki,Fukuoka,Fukuoka,JP,,,US,"[sta, wcw]",1966,8,4,,,,m
Kenta Kobayashi,Sōka,Saitama Prefecture,JP,,,,[wwe],1981,3,12,,,,m
Kenzo Suzuki,Hekinan,Aichi,JP,,,,[wwe],1974,7,25,,,,m
Kerry Brown,Winnipeg,Manitoba,CA,Winnipeg,Manitoba,CA,"[sta, nwa]",1958,2,,2009,9,10,m
Kerry Von Erich,Niagara Falls,New York,US,Denton,Texas,US,"[wwe, nwa]",1960,2,3,1993,2,18,m
Kevin Kelly,New York City,New York,US,,,,[wwe],1967,5,9,,,,m
Kevin Nash,Detroit,Michigan,US,,,,"[wwe, wcw]",1959,7,9,,,,m
Kevin Northcutt,Chalmette,Louisiana,US,,,US,"[ecw, tna, wcw]",1973,3,23,,,,m
Kevin Owens,Saint-Jean-sur-Richelieu,Quebec,CA,,,,[wwe],1984,5,7,,,,m
Kevin Sullivan,Cambridge,Massachusetts,US,,,,"[wwe, ecw, nwa, wcw]",1949,10,26,,,,m
Kevin Thorn,Memphis,Tennessee,US,,,,"[wwe, tna]",1977,1,17,,,,m
Kevin Von Erich,Belleville,Illinois,US,,,,[nwa],1957,5,15,,,,m
Kevin Wacholz,,,US,,,US,"[wwe, nwa, awa, wcw]",1958,4,17,,,,m
Kia Stevens,Carson,California,US,,,,[wwe],1977,9,4,,,,f
Kid Kash,Waynesboro,Virginia,US,,,,"[wwe, ecw, wcw]",1969,7,31,,,,m
Kid Romero,New York City,New York,US,,,,[wcw],1975,,,,,,m
